Video ID,Video Title,Comment,Author,Likes,Published At
FNnK1J-BdiM,The World's Largest iPhone Has a Secret...,Hopefully Apple doesn’t sue you for showing us the iPhone XXXL,@OfficialDevRo,47412,2023-06-22T04:05:33Z
FNnK1J-BdiM,The World's Largest iPhone Has a Secret...,"&quot;I bet it runs on Android&quot;<br>&quot;Yep, I was right&quot;",@thetruth3068,20797,2023-06-22T05:04:13Z
FNnK1J-BdiM,The World's Largest iPhone Has a Secret...,mrwhosetheboss is laughing scarily right now,@iPod1,7788,2024-09-06T14:21:08Z
FNnK1J-BdiM,The World's Largest iPhone Has a Secret...,Who else is watching after Mrwhosetheboss broke the largest iphone record,@Gui-fz1jd,1994,2024-09-07T11:30:34Z
FNnK1J-BdiM,The World's Largest iPhone Has a Secret...,Shaq looking for his phone rn,@jaquavisyoung2637,7209,2023-06-28T08:06:44Z
FNnK1J-BdiM,The World's Largest iPhone Has a Secret...,It’s computer disguised as phone disguised as another phone. It’s the Robert Downey Jr of tech,@madpandahat,4227,2023-06-22T17:42:54Z
FNnK1J-BdiM,The World's Largest iPhone Has a Secret...,When you have to hug your phone to take a screenshot.,@rx-heaven8934,2461,2023-07-15T12:35:47Z
FNnK1J-BdiM,The World's Largest iPhone Has a Secret...,Mrwhosetheboss is laughing at this rn😂,@chachaNJ,306,2024-09-06T14:11:04Z
FNnK1J-BdiM,The World's Largest iPhone Has a Secret...,Mini running an Android which uses a launcher to make it look like an iPhone.<br>This dude&#39;s making his own Inception. 😂,@saranshnegi6535,10017,2023-06-22T05:52:23Z
FNnK1J-BdiM,The World's Largest iPhone Has a Secret...,Shaq finally got an iPhone for him,@malakinginaka,1760,2023-06-22T06:44:55Z
FNnK1J-BdiM,The World's Largest iPhone Has a Secret...,We can finally press the x on mobile ads,@Robododobobo,2729,2023-08-14T00:25:03Z
FNnK1J-BdiM,The World's Largest iPhone Has a Secret...,wait till you guys see mrwhosetheboss’s phone,@Jcjensonhaterdarkxwolf17,110,2024-09-06T13:53:57Z
FNnK1J-BdiM,The World's Largest iPhone Has a Secret...,How a regular iphone looks to Kevin Hart,@MyNameJeff..,3038,2023-10-06T22:07:58Z
FNnK1J-BdiM,The World's Largest iPhone Has a Secret...,he&#39;s got duolingo on that thing 💀 <br><br>Bros gonna learn martian,@TheArgonHead,1491,2023-07-02T05:40:53Z
FNnK1J-BdiM,The World's Largest iPhone Has a Secret...,"&quot;how big is your phone?&quot;<br>&quot;7&quot;<br>&quot;inches?&quot;<br>&quot;no, feet&quot;",@DeviciWasTaken,2196,2024-05-01T09:20:59Z
FNnK1J-BdiM,The World's Largest iPhone Has a Secret...,I guessed this didn’t aged well,@RXNat1on,172,2024-09-06T14:50:01Z
FNnK1J-BdiM,The World's Largest iPhone Has a Secret...,"I find it poetic that big iPhone is running on an Android, that kickstarts on Mac Mini",@PersonManManManMan,1724,2024-04-19T17:02:54Z
FNnK1J-BdiM,The World's Largest iPhone Has a Secret...,Grandmas all over the world will be using this to take pictures,@mar56cos,1045,2023-07-19T05:05:31Z
FNnK1J-BdiM,The World's Largest iPhone Has a Secret...,So it’s the world’s largest android.,@Declan13,5323,2023-12-31T14:34:45Z
FNnK1J-BdiM,The World's Largest iPhone Has a Secret...,Who&#39;s here after mrwhosetheboss biggest iphone video?😂,@OGTennyson,40,2024-09-07T21:33:59Z
cShtHM7cFR0,This Airless Basketball is 3D Printed!,"&quot;Anyway this is $2,500&quot; was such a brutal jumpscare",@zz8az,114058,2024-02-28T11:31:02Z
cShtHM7cFR0,This Airless Basketball is 3D Printed!,"“Anyway, this thing is $2,500”<br><br>Yeah, bye! 💀😂",@lud3re384,155105,2024-02-19T18:25:53Z
cShtHM7cFR0,This Airless Basketball is 3D Printed!,&gt;airless basketball<br>&gt;look inside<br>&gt;air,@ninjahollan1008,28992,2024-02-25T00:09:01Z
cShtHM7cFR0,This Airless Basketball is 3D Printed!,"Now if we could just invent squeakless sneakers, we could have the worlds quietest game of basketball ever",@darkartsdabbler2407,2782,2025-03-12T01:54:42Z
cShtHM7cFR0,This Airless Basketball is 3D Printed!,"Material cost: $13.47<br>Retail cost: $2,500.00",@veophoto,23463,2024-04-29T10:26:14Z
cShtHM7cFR0,This Airless Basketball is 3D Printed!,$2500 is definitely the villain of this movie,@hoysebebetv4406,11456,2024-02-22T15:00:06Z
cShtHM7cFR0,This Airless Basketball is 3D Printed!,Did not expect to be that quiet... Im talking about my bank account.,@FelixAriwibowo,9592,2024-02-20T06:04:19Z
cShtHM7cFR0,This Airless Basketball is 3D Printed!,That fucking basketball with holes just called me broke. 😂,@solitivity,329,2025-02-04T22:59:04Z
cShtHM7cFR0,This Airless Basketball is 3D Printed!,"This man said &quot;anyway, it&#39;s $2500&quot;",@327Soccer,2741,2024-02-23T00:45:35Z
cShtHM7cFR0,This Airless Basketball is 3D Printed!,Playing basketball without the sound is just cursed,@giselasoares9518,9093,2024-03-02T03:34:10Z
cShtHM7cFR0,This Airless Basketball is 3D Printed!,&quot;Anyways this things $2500...&quot;<br>- this guy knows how to structure his content😂,@100mssnipes5,6422,2024-02-22T06:03:45Z
cShtHM7cFR0,This Airless Basketball is 3D Printed!,"I watched someone try to play with this and the issue is not the bouncing.  It&#39;s how it travels through the air.  There&#39;s a ton more drag so you have to push harder to get it to go the same distance.  For players who have years of experience with a regular ball, it&#39;s a marked drop in accuracy.",@ssj4gogeta2003,9,2025-03-03T21:37:43Z
cShtHM7cFR0,This Airless Basketball is 3D Printed!,"I don&#39;t care about performance, my upstairs neighbor needs this<br><br>- edit: I am aware about the cost of this",@suluntulu,44542,2024-02-19T18:34:17Z
cShtHM7cFR0,This Airless Basketball is 3D Printed!,Perfect for playing in the library,@X850Odin,4491,2024-02-22T01:47:38Z
cShtHM7cFR0,This Airless Basketball is 3D Printed!,“Airless basketball”<br><b>looks inside</b> <br>Air,@Snorplicus,2751,2024-03-01T01:31:52Z
cShtHM7cFR0,This Airless Basketball is 3D Printed!,Edit: I learned more. Material is expensive and people sell STLs.<br>Giving it grip texture is super easy. It&#39;s probably just a change of printer settings. <br>Wilson could sell me the file to print myself. Doesn&#39;t need to be $2500.,@useazebra,73,2025-02-07T15:42:38Z
cShtHM7cFR0,This Airless Basketball is 3D Printed!,&gt;Harder to clean<br>&gt;Doesn’t float <br>&gt;Expensive <br>&gt;Potential aerodynamics issues <br>&gt;No iconic bouncing basketball sound effect,@1UPMuzic,2057,2024-02-26T23:39:30Z
cShtHM7cFR0,This Airless Basketball is 3D Printed!,It makes the VisionPro seem like a steal of a deal.,@bobweiram6321,8117,2024-02-19T18:39:18Z
cShtHM7cFR0,This Airless Basketball is 3D Printed!,i feel like hearing the ball adds extra spatial awareness,@Garrett_641,920,2024-02-23T09:34:39Z
cShtHM7cFR0,This Airless Basketball is 3D Printed!,"Even if it weren’t $2,500, the lack of sound when bouncing would be a dealbreaker for me. Basketballs need to make that sound when bouncing. It’s mandatory.",@MReginaldGoldstein77,16,2025-03-08T14:17:25Z
dtp6b76pMak,Using Apple Vision Pro: What It’s Actually Like!,"Can&#39;t wait to hear the &#39;&#39;scratches at level 6, with deeper grooves at level 7&#39;&#39;<br><br>This didn&#39;t age well.",@Ninja-ts6fb,51300,2024-01-31T15:42:39Z
dtp6b76pMak,Using Apple Vision Pro: What It’s Actually Like!,"<a href=""https://www.youtube.com/watch?v=dtp6b76pMak&amp;t=1380"">23:00</a> unfortunately wearing the Vision Pro will likely also start an annoying awkward conversation too lol",@Wynnsanity,30094,2024-01-31T16:12:47Z
